id;name;power;discription;price;categories_id;country
48;Водонагреватель Ariston PRO1 80;80;PRO1 ABS R 80 V SLIM. Мощность 1,5кВт. Объем 80л. Габариты(ВхШхГ): 1178х353х373. Гарантия на бак-5лет, на заменяемые компоненты -1 год;97990;4;Китай
49;Водонагреватель Ariston NTS 30;30;NTS 30 V 1,5K (RE). Мощность 1,5кВт. Объем 30л. Время нагрева 73мин. Габариты(ВхШхГ): 500х450х470. Гарантия на бак-5лет, на заменяемые компоненты -1 год;58990;4;Китай
50;Водонагреватель Ariston NTS 50;50;NTS 50 V 1,5K (RE). Мощность 1,5кВт. Объем 50л. Время нагрева 112мин. Габариты(ВхШхГ): 553х450х470. Гарантия на бак-5лет, на заменяемые компоненты -1 год;61990;4;Китай
51;Водонагреватель Ariston NTS 80;80;NTS 80 V 1,5K (RE). Мощность 1,5кВт. Объем 80л. Время нагрева 186мин. Габариты(ВхШхГ): 758х450х470. Гарантия на бак-5лет, на заменяемые компоненты -1 год;68990;4;Китай
52;Водонагреватель Ariston NTS 100;100;NTS 100 V 1,5K (RE). Мощность 1,5кВт. Объем 100л. Время нагрева 232мин. Габариты(ВхШхГ): 913х450х470. Гарантия на бак-5лет, на заменяемые компоненты -1 год;73990;4;Китай
53;Кабель ЭТП Грандекс G2-18/360(2-3 м2);3;Кабель для теплого пола. Квадратура: 2-3 кв.метра;26255;6;Китай
54;Кабель ЭТП Грандекс G2-32/640(3.5-5.3 м2);5;Кабель для теплого пола. Квадратура: 3,5-5,3 кв.метра;34442;6;Китай
55;Пульт RTC 70.26 (3.5);0;Механический терморегулятор для теплого пола;8320;6;Китай
56;Труба для теплого пола полиэтилен 16DN 200;16;Труба для теплого пола, полиэтилен. Диаметр 16мм, В бухте 200м;195;6;Китай
57;Труба для теплого пола полиэтилен 20DN 200;20;Труба для теплого пола, полиэтилен. Диаметр 20мм, В бухте 200м;221;6;Китай
58;Насос STI AQUA JET PH 1000 Р;45;Насосная станция водоснабжения. Напор 45м, Мощность 4,6 куб.м в час;89690;8;Китай
59;Циркуляционный насос ВИЛО Star RS 30/4 с гайками;30;Циркуляционный насос 30/4. Напор 4м. Гарантия 2 года.;52757;5;Франция
60;Повысительный насос ВИЛО PH 253;253;Повысительный насос РН 253. Напор 7,5м. Скорость потока 18куб.м./час. Гарантия 2 года.;101075;5;Франция
61;Циркуляционный Насос ВИЛО PH 045 E;45;Циркуляционный насос с сухим ротором. Напор 2м. Расход 35л/мин. Гарантия 2 года.;29090;5;Франция
62;Циркуляционный насос ВИЛО TOP S 25/5;25;Циркуляционный насос. Напор 5м. Расход 5 куб.м/час. Гарантия 2 года;119816;5;Франция
63;Дренажный Насос Грундфос KPC 600 A;600;Дренажный насос для крупных частиц. Напор 10м. Расход 16 куб.м/час. Гарантия 2 года;81396;9;Китай
64;Насос Грундфос UPS 25-40 180 циркуляционный с гайками;25;Циркуляционный насос 25/4. Напор 4м. Гарантия 2 года;54749;5;Сербия
65;Насос Грундфос UPS 32-60 180 циркуляционный с гайками;32;Циркуляционный насос 32/6. Напор 6м. Гарантия 2 года;69134;5;Сербия
66;Насос Грундфос Sololift2 CWC-3 канализационная установка;0;Канализационный насос. Напор 8,5м. Расход 204л/час.Гарантия 2 года;273743;9;Китай
67;Циркуляционный насос XPS25-4-180;25;Насос циркуляционный. Длинна 180мм. Напор 4м. .Гарантия 1 год;19500;5;Китай
68;Циркуляционный насос XPS25-6-180;25;Насос циркуляционный. Длинна 180мм. Напор 6м. .Гарантия 1 год;28990;5;Китай
69;Циркуляционный насос XPS32-4-180;32;Насос циркуляционный. Длинна 180мм. Напор 4м. .Гарантия 1 год;23270;5;Китай
70;Циркуляционный насос XPS32-6-180;32;Насос циркуляционный. Длинна 180мм. Напор 6м. .Гарантия 1 год;30160;5;Китай
